projectcode,naam,contour,bedrijf.id,id,created,modified,bedrijf
"17.4.0.000","Test","MULTIPOLYGON(((102038.69255442324 426118.2987554228,102041.84254272436 426116.82872919145,102046.46251735256 426113.6786905969,102045.83246867532 426107.7986950107,102044.36245458407 426106.11870693474,102038.27245545312 426106.3287572883,102036.59246215504 426107.16877128027,102033.2324963828 426111.3687996129,102031.55253605492 426116.19881414366,102031.55255861326 426118.9288145059,102034.49256770776 426119.9787903538,102036.59256800674 426119.97877299757))","28641","5528627","2017-04-19T10:58:02.000Z","2017-04-19T11:03:22.000Z","28641"
"Tt1234","Topotest","MULTIPOLYGON(((169150.01232953533 474171.15547805803,169152.95232953766 474144.43297801336,169122.92232946656 474144.4329780092,169122.92232947162 474174.46297806053))","1","5495603","2017-04-12T14:55:01.000Z","2017-04-24T10:06:26.000Z","1"
"13.4.299","Delfshaven te Rotterdam","MULTIPOLYGON(((90545.26196706103 435925.39508480876,91150.06227666856 435952.2700878841,91250.86199952489 435916.98924965336,91358.38234840301 435957.3083661632,91425.58055239341 435738.9077808031,90921.57728493001 435352.5118952116,90431.01596390209 435201.3159305072,90320.13611453606 435221.47685001465,90387.33759660053 435399.5563187304,90380.62331840528 436091.71646878996))","28641","5477909","2017-04-10T20:30:25.000Z","2017-04-12T03:35:01.000Z","28641"
"17KL114","Achteromweg 1 te Vlieland","GEOMETRYCOLLECTION(POLYGON((133547.0632488389 589959.4969464864,133554.51947930767 589930.827844924,133569.19979180765 589935.569251174,133561.99580743266 589963.1493878927,133547.0632488389 589959.4969464864)))","3820026","5428183","2017-04-04T12:28:03.000Z","2024-10-29T12:06:03.000Z","3820026"
"164784","Fotos","MULTIPOLYGON(((121722.86848690538 455542.4998262938,121951.34818352746 455502.17793179915,122031.98752725782 455421.53725495725,122045.42619528063 455260.2571238951,121991.66463218202 455072.0975452416,121924.46428990523 455031.77809598687,121709.42426159473 455031.7798743185,121548.14557409691 455193.0612280188,121507.8287920393 455582.8216096541,121534.70957361191 455676.901398978))","1483117","4742357","2016-12-30T10:31:01.000Z","2017-04-01T22:36:50.000Z","1483117"
"165076","Groenenbergterrein Schiphol","MULTIPOLYGON(((119760.92454122263 491346.6804092003,121185.56405406623 491266.02860114205,122717.72224425212 491024.0958839967,123282.20231540118 491024.0912093924,124115.48063950239 490809.0442835605,124760.59671397074 490325.19888444885,125997.06796598206 489249.98851945583,127367.94346367155 488685.49710236036,128389.38203326147 488497.3286231056,128631.29716728449 487905.96655111253,128685.03225003037 484895.4057540841,128846.30603968818 484142.7643308012,129061.3302686748 482234.2823269362,127609.80630385474 481777.33428820025,126131.39944233529 480970.9464304325,125056.19040624631 479895.75520265696,124948.66994760408 479841.9960862368,124411.07054674887 479922.640545778,122636.99566070762 480567.775308109,122099.39826216042 480890.33979699854,120594.11628926563 480675.31223216513,119948.99620641323 480675.31757266005,119545.7965996048 480729.08091698866,116427.72354061107 481616.1468383934,115782.60635006866 481965.5922220326,115325.650296686 482449.4360643385,115137.49427826807 482933.2776811667,115164.38251655812 483927.8375796457,115298.78765305542 484546.0765419394,115460.07168024537 485029.91526523995,116051.44266302665 486347.0305280463,116158.97247080259 487529.749780657,116723.46723500725 489303.8253198953,117046.03261899471 489948.9427261239,117825.56051021835 490889.73638309725,118175.0030036192 491185.41352443065,118820.12531202404 491454.2082136482,119303.96537359586 491454.2042065017))","1483117","4739227","2016-12-28T10:29:01.000Z","2017-04-05T02:55:15.000Z","1483117"
"164305","MKB Utrechtseweg 76 te Arnhem","MULTIPOLYGON(((169244.34853154013 474191.5789863057,169261.77829214657 474162.38883910066,169263.03826971515 474159.6588283906,169276.47812190297 474141.5987153489,169276.89811326805 474140.5487117683,169276.68808719705 474137.39871317486,169267.65800108432 474127.108786758,169257.78792529498 474118.0788674199,169254.4279040758 474115.5588949346,169239.09786065988 474110.51902116206,169234.6878514768 474109.46905751963,169231.11795178772 474121.6490883278,169217.88810136015 474139.9191996545,169215.57810457092 474140.33921879873,169207.5981279758 474143.27928509517,169185.54821056055 474153.5694685073,169185.33822616498 474155.459470446,169190.16831527426 474166.1694316373,169199.40845350607 474182.75935698405,169205.4985306032 474191.99930760206))","1483117","4734928","2016-12-23T13:06:01.000Z","2017-04-03T10:20:59.000Z","1483117"
"164987","Jaspersweg 1 Winterswijk","MULTIPOLYGON(((245576.38085310263 444456.83576222643,245578.48083944118 444455.155744759,245579.95082052442 444452.84573243844,245582.47072375903 444441.0857106553,245582.6806596893 444433.3157082624,245580.16062827638 444429.53572872496,245573.44058434738 444424.28578370734,245567.14057683205 444423.44583560096,245563.3605660875 444422.1858666707,245557.06056203667 444421.7659185945,245554.5405652664 444422.1859394167,245552.23057544412 444423.445958578,245550.3405891252 444425.12597431196,245547.61062697828 444429.7459972196,245546.3506736285 444435.4160080962,245546.35075330717 444445.0760089158,245548.66080202223 444450.9559903643,245551.60082308168 444453.4759663243,245553.490828454 444454.1059507945,245570.5008560196 444457.25581075903))","1483117","4733875","2016-12-23T11:29:02.000Z","2017-04-02T19:29:39.000Z","1483117"
"164983","Ijsselkade 64 Zutphen","MULTIPOLYGON(((210937.6523793788 462013.1232221121,211008.2121368067 461982.8826365388,211199.73160128642 461915.68104851077,211300.5311675366 461861.9202109909,211354.29084000355 461821.59976322367,211391.2504552631 461774.559453578,211408.0499852253 461717.4393094847,211397.96854122053 461542.7193763695,211377.8080951783 461488.9595378307,211344.20773101784 461445.2798112292,211287.08739221387 461404.96027918387,211206.44732850944 461398.24094452965,211129.1674316415 461411.6815840206,210998.12780679448 461458.72267064184,210947.72805140886 461488.9630897173,210863.72862559842 461559.52379007277,210830.12906617345 461613.2840726105,210806.609951776 461720.80427693954,210806.61278229574 462063.52430908487,210826.77311735277 462103.8441463648,210977.97313273975 462103.84289761784))","1483117","4733819","2016-12-23T11:29:01.000Z","2017-04-01T23:02:37.000Z","1483117"
"165018","Sleumersteeg 6B Barchem","MULTIPOLYGON(((228046.74310498728 458261.9616098975,228047.1630703556 458257.76160605694,228011.88266474317 458209.0418929773,228044.22239396253 458175.8616230604,228067.74283657555 458229.2014336372,228070.68281605694 458226.68140914466,228074.04277130804 458221.2213809188,228081.60252586694 458191.4013158624,228081.60233863734 458168.72131385317,228080.34228650728 458162.4213236918,228075.722202847 458152.34136093804,228071.522160834 458147.3013951617,228068.1621397055 458144.7814226753,228060.60210776888 458141.00148474966,228046.3221098542 458141.4216026685,228028.68212548282 458143.5217484763,228003.4821854537 458151.0819571759,227985.84226002483 458160.3221036142,227976.60232154018 458167.8821805633,227970.3023764061 458174.6022331648,227964.84244175476 458182.5822789482,227961.9025524212 458196.0223044179,227961.9027223153 458216.6023062371,227965.6828821739 458235.92227675003,227973.663025103 458253.14221239823,227979.96308812287 458260.7021610643,227985.00310594687 458262.80211964366,228045.06311175926 458262.8016238435))","1483117","4731342","2016-12-23T07:57:01.000Z","2017-04-01T22:04:56.000Z","1483117"
